,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3,RET,MOM,VOL,ATR_10_res,MFI_10_res,STOCHk_10_3_3_res,Investor_Sentiment_PC1
2024-05-20,2687.60009765625,2756.409912109375,2681.169921875,2741.239990234375,2556600,57.27660402400063,73.46100520769001,70.72544638433463,-0.013587222415968991,0.018085448935874493,0.00035960031401227827,2.72330652983122,2.41731258594708,10.80661756224238,0.5346921785111365
2024-05-27,2636.52001953125,2730.1201171875,2635.43994140625,2697.159912109375,2422300,45.52827635181736,75.58292226504601,57.278479758349086,-0.01900583281327639,0.009538616496363561,0.0003925510731482687,4.493324635784958,-7.136408117217165,-0.079940658598467,-0.5423088600229503
2024-06-03,2722.669921875,2729.6298828125,2657.81005859375,2657.81005859375,3221200,47.37650453768485,77.3356163666664,57.664852497297794,0.03267561092104532,-0.040110212525869104,0.00040573362351358215,14.287222190601497,-4.372091132826384,-1.7977556863799862,-0.6223173096408485
2024-06-10,2758.419921875,2776.719970703125,2689.18994140625,2698.7099609375,2921800,59.29857763552618,78.35505765968726,68.48029749912276,0.01313049360584273,-0.0067323517939764654,0.0004230556313797308,5.970998499555492,5.274568284654933,7.769542176752431,0.5325775140503762
2024-06-17,2784.260009765625,2812.6201171875,2741.030029296875,2754.830078125,3190500,69.63392415917589,77.67856068278104,85.91907417667574,0.009367713626814433,0.018201669501517137,0.00041136112276135057,-0.2268920374472998,12.355987830506443,22.052717842982915,1.6730683384762295
2024-06-24,2797.820068359375,2797.820068359375,2758.090087890625,2772.85009765625,2848600,80.5880049435878,73.88370266137794,91.24873175423032,0.004870255847582161,0.03950283449881342,0.0003885023334312518,-7.359855649948756,20.579053128710406,24.831424456649884,2.442909912976481
2024-07-01,2862.22998046875,2871.9599609375,2774.7099609375,2792.9599609375,2107800,80.82156075423843,76.22033239524015,92.61081282735329,0.023021463330608283,0.07791745896338997,0.0002542541452556404,-4.2486527499403195,11.836147690786746,15.956131223615202,1.472439986666842
2024-07-08,2857.0,2896.429931640625,2844.8798828125,2862.580078125,2221300,81.03423249586493,73.75330403852864,91.22383082950904,-0.0018272397761319725,0.07606490593851944,0.00023523849277974125,-2.108083974418065,15.234643745131791,19.381213051706908,1.7847858234104073
2024-07-15,2795.4599609375,2872.89990234375,2776.989990234375,2869.14990234375,2733200,71.0729643245576,75.96896484561329,80.69702080771658,-0.02154009067640883,0.06659561713592421,0.0003074435031067368,-2.565422653021699,9.709606487015492,14.537406662566909,1.2483758047468436
2024-07-22,2731.89990234375,2796.919921875,2703.860107421875,2790.989990234375,2307200,62.5906280048502,77.67804980636446,61.05470924168511,-0.022736887482528667,0.026001715423672467,0.0003411929856021729,7.341394843076884,7.558354631894588,1.52023291112355,0.40111021428011345
2024-07-29,2676.18994140625,2794.110107421875,2666.39990234375,2748.320068359375,2418400,62.90398507647649,82.68126533354052,37.9618620879969,-0.020392387323454053,0.004368264167578073,0.00038041877978630176,14.360297688690622,11.057942548146919,-18.443722647488407,-0.3104314890002989
2024-08-05,2588.429931640625,2611.300048828125,2386.9599609375,2611.300048828125,2773400,62.430888295763054,103.33613684706148,30.70596546929819,-0.032792892764371584,-0.0024369007399069886,0.0004605461198243088,30.162276134690217,13.795839416127933,-21.73612325406633,-0.5698086265175217
2024-08-12,2697.22998046875,2699.610107421875,2602.010009765625,2602.159912109375,1386200,59.67993480627483,104.12054074048034,38.68639685328832,0.0420332215673167,-0.01622396069100218,0.000606330581476878,13.81635375688792,5.021149370240394,-24.65020810018973,-0.9323100446287195
2024-08-19,2701.68994140625,2712.840087890625,2664.280029296875,2697.969970703125,2069500,58.19146946585109,98.56449252580732,54.07384263574324,0.001653533799414797,-0.006866350044730796,0.0005056430302801436,19.12881190313881,6.316477150155833,-3.838910194269836,-0.11736851367586107
2024-08-26,2674.31005859375,2718.469970703125,2649.56005859375,2716.8798828125,1446200,48.418921328780506,95.59903448416408,59.692762421116846,-0.010134354202854468,-0.01834330985115873,0.000491547067587129,21.825791116948196,-0.4494837944950447,5.629622791733432,-0.219244952525545
2024-09-02,2544.280029296875,2695.590087890625,2529.31005859375,2683.800048828125,1779800,37.45990032843663,102.66713396543516,49.6856334460903,-0.04862189740454015,-0.03784537768082763,0.0006585840768975329,21.399396822627622,-2.3767627644380553,7.0669261817685936,-0.27596315860738535
2024-09-09,2575.409912109375,2584.110107421875,2491.300048828125,2498.669921875,1278800,28.437711862449973,101.68142642826666,41.42345009485866,0.012235242368782373,-0.09133753093294994,0.0006822678678649979,27.683806507440963,-10.972147229209888,-4.36470382947644,-1.4000227323492702
2024-09-16,2593.3701171875,2619.550048828125,2550.090087890625,2594.669921875,881100,22.691821594963244,98.45927987919,36.78168391002349,0.0069737267817746584,-0.10212375189477585,0.0006087109658820105,35.18918815299587,-15.129722187098977,-6.934655660182159,-1.9103052630018733
2024-09-23,2649.780029296875,2681.449951171875,2588.489990234375,2596.469970703125,1886600,34.306837666702464,97.909347985021,47.85820131046797,0.021751585604969925,-0.09332278533686922,0.0006914274207036537,22.71993441997097,-5.915784038788274,0.6492921925760058,-0.7831708669099151
2024-09-30,2569.7099609375,2668.659912109375,2555.4599609375,2665.239990234375,1124200,36.920532625774754,99.4384083037064,50.49011743821793,-0.030217628434848542,-0.050031109055490464,0.0007243638020030651,13.488710539891485,-2.8646382472831817,6.747793759521414,-0.1688681067831624
2024-10-07,2596.909912109375,2621.929931640625,2561.4599609375,2579.199951171875,1771800,38.614680757812856,95.54156454364828,57.44176130234474,0.01058483314667602,-0.05751185000781034,0.0007223957474681195,8.243957306960013,-5.158154514000387,7.142561912027887,-0.19873179843607439
2024-10-14,2593.820068359375,2635.320068359375,2587.9599609375,2602.6298828125,1874100,52.642521226034354,90.72341883147097,51.115263369431794,-0.0011898155325266169,-0.026534629537680265,0.0006939841861935982,-1.4358775221845264,5.588183243905014,-1.872899704950619,0.30737345791530385
2024-10-21,2583.27001953125,2618.7099609375,2564.4599609375,2600.77001953125,1742400,42.70075105910881,87.07607694832386,49.648576365168594,-0.004067378827398049,0.005068447694164702,0.0005950797318021875,-3.9894002891857525,-9.432219811761499,-8.325126524874193,-0.8567884612137318
