Date,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3
2024-03-04,70089.8671875,71715.41663113915,69038.04107690995,71046.07274258185,98051816,39.8934639439483,2384.996024243311,27.472452697368208
2024-03-11,69133.65625,71237.30830739973,68942.41515387275,69707.37953838175,83121386,30.642634591467,2375.985737171678,27.032866613249173
2024-03-18,75444.6171875,76400.82272853295,68559.93729206274,69420.52227899239,148297271,48.39143716376072,2922.4757071015315,46.852928325859885
2024-03-25,78791.3125,78886.93302487864,74392.76835558252,76113.93780339806,118891263,60.55514613600044,3079.644603320991,70.35382703118755
2024-04-01,81166.546875,82127.09772559171,78765.16974852071,79917.83076923077,131820490,63.86022012366439,3107.872940695992,93.70817573945038
2024-04-08,80398.109375,82607.37641875747,79245.44830869176,81838.9357078853,85278967,64.61061075929555,3133.2784576329636,92.08897176904237
2024-04-15,74538.75,79917.8350515464,73290.03382731958,79629.66978092784,133913001,60.13680945136968,3530.758166637709,73.25147595114743
2024-04-22,73674.2578125,75691.41480606259,72137.37629359518,74346.64347702086,99658089,57.79174188649564,3533.086201220679,54.41396377065104
2024-04-29,74538.75,75883.5212628866,73193.9787371134,74346.63981958762,65724010,64.17757288755737,3448.7318336759313,40.51022107384091
2024-05-06,76075.625,78284.89188762626,75787.45975378787,76459.84532828283,75064503,70.28338872798686,3478.4728390709647,44.15708981657954
2024-05-13,74346.640625,77132.23827115634,74154.53044250647,76267.74244993541,67324315,62.9696834799057,3428.3963380288556,45.7525948915277
2024-05-20,72905.8203125,75979.58348773058,72713.7101140481,75019.03249547102,99288237,61.733880249867504,3412.144041594218,41.8777968523679
2024-05-27,70600.484375,75115.07317176872,70600.484375,72329.47582908164,147359198,47.96588544630745,3522.388517111668,24.04373319575214
2024-06-03,74250.578125,75499.2941866106,71272.87059346701,71464.98075679172,74171638,45.34809039333292,3660.0306465615613,20.44572623449319
2024-06-10,76459.8359375,77324.33156995918,72137.35777520415,73097.90847793655,107507071,43.41068456498765,3812.7249613809086,26.399963392813977
2024-06-17,76844.0625,79245.439453125,74922.9609375,76075.621875,96695948,43.849289112064106,3863.700316805318,48.736706750258975
2024-06-24,78284.890625,78669.1109470859,76363.78901457055,76555.8991756135,73521576,55.165774237694855,3707.862478376321,68.23301371423317
2024-07-01,84037.140625,84037.140625,78151.64627583238,78634.06384543628,126877856,67.49024724759312,3925.625665455452,85.29971301452838
2024-07-08,81432.09375,85677.36877962085,81142.64317979859,84809.01706901658,114207851,69.4535844479495,3986.5356588921336,86.91046677543203
2024-07-15,81432.09375,84905.50059241707,80853.19260959716,81721.54432020143,102837170,59.66405279373132,3993.1128912849113,81.2283275700306
2024-07-22,78055.15625,81914.49648485785,77283.28820302842,81432.07895550062,86525177,58.33483968692556,4056.9224303393635,64.37645392234967
2024-07-29,76800.8671875,83072.29478446922,76704.38368600816,78730.53721733668,93411708,58.3112499575462,4288.021297151533,54.13732131331497
2024-08-05,72073.1875,74195.82488286479,67731.42921686747,74002.8578480589,179417395,56.76726136120953,4766.162964499633,38.254337930697034
2024-08-12,77379.7734375,77379.7734375,72169.66400405238,72555.5980361596,55863166,56.104643706287256,4820.20526179967,39.694005912753134
2024-08-19,74967.6875,77283.29174710425,74774.72047940799,77283.29174710425,50205406,53.64029487477729,4598.690031428904,39.42648737276236
2024-08-26,71687.234375,75450.09055349932,70915.36644094886,75353.60706174294,69823596,45.31513373677854,4592.29343954106,38.709606313307106
2024-09-02,66477.140625,72073.18439314223,65608.78900580552,71880.21736665457,101031606,37.02725926464629,4779.503634320626,22.230785689713187
2024-09-09,62135.37890625,65801.75219574923,61942.4118910132,64547.466596710015,150653622,23.475413542163892,4755.0261442872425,9.060942270401561
2024-09-16,60784.609375,62424.828993055555,60012.741319444445,61749.444444444445,82148769,11.462741428172961,4520.73229721963,2.746900724102639
2024-09-23,61942.41015625,63100.21221524533,60012.74005792446,60109.223562840736,150151359,24.417533142714888,4377.406283229754,4.093994315586947
2024-09-30,58797.06640625,62386.98630234117,58117.89237185437,62289.96144028465,85415277,25.0319461156803,4366.575047955459,4.73021182661001
2024-10-07,57535.7421875,60058.38855659781,57147.64274610034,58408.96593064925,137364502,24.803971424883144,4220.992124209661,4.336031752442583
2024-10-14,57438.72265625,59573.269781989016,57341.69778689822,57729.79726430532,104697889,27.4480188084558,4022.050111297774,2.0261981886291522
2024-10-21,54236.90625,58214.92620751342,54139.881372987475,57244.67743738819,130727449,19.785568169481053,4027.349583620591,1.2587225522408518
2024-10-28,56565.4921875,59379.213068181816,54042.845880681816,54042.845880681816,130875210,23.95163607297313,4158.251344008532,4.547337335929283
2024-11-04,55304.1796875,57632.77672697369,54625.00555098685,56856.577713815794,86084137,24.043808236423857,4043.203327206363,6.399643301259385
2024-11-11,51908.30078125,55110.121203271025,48415.40577540888,55013.09634199766,215587402,22.642037803423662,4327.760385694839,12.956523383750806
2024-11-18,54333.92578125,55789.29879324777,53072.60250418527,55304.17445591518,134877926,33.60597457930767,4283.084148325132,22.463063468085863
2024-11-25,52587.48046875,57147.649439287365,52199.38098189576,55692.27636358395,125769782,32.79296437122062,4349.60257923178,29.6014655084437
2024-12-02,52490.45703125,52781.53165434381,50452.93466959334,52684.5067799792,120874387,21.002218837560534,4147.502019783648,32.627079770178874
2024-12-09,54430.94921875,54819.04867842023,51617.22813614082,51908.30273089349,110963118,29.12244229661887,4052.9338720332253,36.414742767100684
2024-12-16,51423.18359375,54916.07908313679,50355.90997199292,54625.00445902123,96348143,30.391585594001896,4103.65739594429,35.92999220867902
2024-12-23,52102.3515625,52975.57533170391,51617.22724627561,51811.276972765365,46571598,32.11334657458485,3848.530830145253,37.417198263234276
2024-12-30,53141.42578125,53825.23089240579,51090.010447782624,52066.8748922909,48573286,38.92050631756221,3737.199791593044,34.56351814929324
2025-01-06,54020.6015625,56365.07613302441,53043.737158114825,53141.423598553345,103207887,37.03115720940385,3695.613709924699,45.848400512150135
2025-01-13,52457.6171875,53727.54088105214,51969.18499767225,53336.795129189944,90392193,37.05853889558147,3531.1939954150043,50.069168769055516
2025-01-20,52457.6171875,53141.42225325885,51871.4985597067,52359.93074953445,71155922,42.51478711331874,3305.0669652287183,46.01563683250458
2025-01-27,51187.69140625,52457.61504800811,50503.88636838025,52457.61504800811,42186279,31.176550678646038,3169.933350617822,29.827549059284348
2025-02-03,52457.6171875,52946.04937732774,49624.71048649907,49917.76980039571,106477524,44.58085911158692,3185.073904638907,28.40699484892272
2025-02-10,54704.40625,55974.32996651786,51676.12661830357,51773.81305803572,125030539,59.28238873225884,3296.386848996445,43.21275049995278
2025-02-17,56853.5078125,57732.68576836341,54411.346823990556,54802.092582152065,103229672,59.158651494686644,3298.882058534086,68.84930724991051
2025-02-24,53239.11328125,56462.766012041284,53239.11328125,55974.33378010321,89892797,59.359226742445,3330.4333058056773,69.69910329562519
2025-03-03,52457.6171875,54118.286632914336,52164.55787360335,52652.9900634311,61665843,58.26571292804271,3192.7628511562084,56.22491578278929
2025-03-10,53434.484375,54606.72169218464,51285.38262682815,52262.24705781535,83613087,59.937816351267024,3205.620472576237,42.168700272169104
2025-03-17,60272.53125,60272.53125,54118.28575769854,54215.97219408428,168263990,63.20810391093517,3568.863112818613,60.642578689815856
2025-03-24,58807.2421875,60565.598266196015,58123.437045784885,59784.10667566445,84451498,72.65099362351825,3456.192923577865,76.9721868565938
2025-03-31,55127.68359375,58665.288958054814,54734.61633104947,58468.755326704544,88912712,70.91185638881488,3517.836216865132,78.0752991407267
2025-04-07,54243.28515625,55717.287470278534,51983.148274739586,52376.21555848053,114987340,65.85673319802919,3539.466514732514,58.81326350202725
2025-04-14,54341.55078125,56110.35351915687,53555.41623106917,55324.21896897604,53003689,64.21167447051975,3441.013592068033,41.81443074306437
2025-04-21,54734.62109375,55422.48886333034,53751.95285149237,54243.28697262119,49386688,55.90192164065291,3263.9658340450264,37.43787621014069
2025-04-28,53358.88671875,55520.75689888352,53260.619892380295,54832.889114295576,55105429,46.933043254688585,3163.5829512908463,30.814336816602673
2025-05-05,53850.21484375,54538.082551608124,53358.880766708484,53358.880766708484,41271845,49.73565618821027,2965.144834651726,29.04952172827042
2025-05-12,55815.55078125,57584.35344685299,54046.74811564701,54243.28174515845,68250680,57.589322821744744,3042.0442114968528,32.93208124881489
2025-05-19,53260.6171875,55717.287721978784,53162.35036612085,55422.48725784133,53178256,49.450803826852855,3003.1598318600827,30.445877880681422
2025-05-26,55225.953125,56208.621330071175,52769.282612322066,52965.8162533363,81013633,42.339357045550564,3046.7777204489857,33.82804561443006
2025-06-02,58075.6875,58861.82201776649,55225.94987309645,55324.21668781726,55786525,39.489488263699606,3105.6871628710915,47.080075697826636
2025-06-09,57289.5546875,59353.15785806175,56699.95378162521,59353.15785806175,86987247,53.28176600470239,3060.438854227636,66.11851856119661
2025-06-16,58468.7578125,59549.692830882355,55913.82049632353,56994.75551470588,103407109,70.1830886454549,3117.9822022607545,81.54312889568766
2025-06-23,59746.2265625,60532.36112253289,56601.68832236842,57387.82288240131,100965975,72.50732421419355,3199.2512620511266,81.97712698223395
2025-06-30,62584.43359375,63968.6074804996,59123.99887687599,60508.1727636256,101598834,81.12069399082807,3363.7869962083755,87.19064903927928
2025-07-07,61892.34765625,62584.4346108726,59519.47809754393,62188.95635108826,88820970,76.69437229468915,3333.9039479204057,86.3249417503556
2025-07-14,66341.4765625,67033.56350130403,61101.38974012668,61595.73755355812,118448922,83.58900273278,3593.7309292461005,88.08317327979296
2025-07-21,65155.046875,68022.2644157815,64166.351171282244,66638.09043057663,74980315,83.94452551932069,3619.949160771416,85.93706975692534
2025-07-28,68121.125,73163.47242380261,66440.34252539913,67429.03809869375,148891490,90.8082962620466,4058.7967995745353,83.87530992440155
2025-08-04,70988.3515625,71581.56898502786,67527.91659775419,68714.35144280989,78964731,90.97516898666117,4058.282358344449,81.45057457637705
2025-08-11,70790.609375,71581.5659043296,69999.6528456704,71186.08763966481,51403773,91.04010039930247,3810.645428375925,83.131156449389
2025-08-18,70592.8671875,71087.21499693627,68615.4759497549,70296.25850183824,69695454,82.96518722663342,3676.7547902564697,86.40518016050692
2025-08-25,68912.0859375,70988.34677636297,68813.21637374461,70889.4772126076,58841393,75.4467908482674,3526.5923514926594,81.89059213865663
2025-09-01,68714.3515625,69604.17769784173,66736.9601506295,67626.78628597122,56700518,67.70921632983789,3460.6548710646166,75.91256616989223
2025-09-08,74547.6484375,74745.38755802387,68813.21394230769,69010.95306283157,95075124,68.06082379800125,3717.6929835105416,80.44711900430194
2025-09-15,79392.2578125,79589.99693532067,75041.9971104452,76327.30140877957,94602422,78.29901543423517,3850.1585349415545,88.64723213428601
