,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3
2024-03-04,69019.7890625,70083.0546875,59323.91015625,63137.00390625,405709693297,88.98427341439688,5111.091400401296,95.0973859726505
2024-03-11,68390.625,73750.0703125,64545.31640625,69020.546875,405957750577,90.60846331282666,5520.457650986166,92.82683081111854
2024-03-18,67234.171875,68897.1328125,60807.78515625,68371.3046875,328097121682,75.89738361357703,5777.34665151255,87.64043517980527
2024-03-25,71333.6484375,71727.6875,66414.8359375,67234.09375,216324625836,81.29345890527253,5730.897142611295,86.47695553530316
2024-04-01,69362.5546875,71342.09375,64559.8984375,71333.484375,229427260104,76.5203381702241,5836.026959600165,86.96802968116343
2024-04-08,65738.7265625,72715.359375,60919.10546875,69362.5546875,288243675431,67.20742060110467,6432.049654265149,84.65187003030833
2024-04-15,64926.64453125,66878.6484375,59651.390625,65739.6484375,257889555865,59.77491333468557,6511.5704700886345,75.62810807561259
2024-04-22,63113.23046875,67233.9609375,62424.71875,64935.6328125,176031088174,59.87282447140903,6341.337641829771,64.917675346342
2024-04-29,64031.1328125,64703.33203125,56555.29296875,63106.36328125,217717011805,53.77171387778438,6522.0077838967945,59.202140564938645
2024-05-06,61448.39453125,65494.90234375,60208.78125,64038.3125,161617857129,51.40891919450329,6398.419114882115,46.66465250441967
2024-05-13,66278.3671875,67694.296875,60769.83984375,61451.21875,191456349028,47.11939734199447,6451.022906518903,47.47074126652695
2024-05-20,68518.09375,71946.4609375,66086.171875,66278.7421875,225779718034,42.76195436402666,6391.949522117013,53.01016841771957
2024-05-27,67751.6015625,70597.8828125,66633.421875,68512.1796875,170949409910,45.75347704668123,6149.2006636553115,66.61913424836347
2024-06-03,69647.9921875,71907.8515625,67589.8359375,67753.8984375,187569500742,44.9611605662554,5966.08215978978,74.77652562889924
2024-06-10,66639.046875,70146.0703125,65056.89453125,69644.3125,175973271622,46.24586971084088,5878.391521935802,70.90061978428533
2024-06-17,63180.796875,67188.3203125,63180.796875,66636.515625,163449015388,49.3959666922963,5691.304713492223,62.15516564671029
2024-06-24,62678.29296875,63292.52734375,58601.69921875,63173.3515625,171030093873,51.82961855038297,5591.257054643001,48.40973581047814
2024-07-01,55849.109375,63777.2265625,53717.375,62673.60546875,213107531443,42.090773028306614,6038.1165054287,31.50804470310921
2024-07-08,60787.79296875,61329.52734375,54321.01953125,55849.57421875,187407019962,52.20591259717079,6135.155636135831,30.08771934099418
2024-07-15,68154.5234375,68372.90625,60704.9296875,60815.45703125,222161876179,53.955360761379275,6288.437728772247,43.226341430940614
2024-07-22,68255.8671875,69398.5078125,63473.47265625,68152.9765625,227265184992,54.97843671531369,6252.097471520023,65.91308475794678
2024-07-29,58116.9765625,69987.5390625,57210.8046875,68259.0546875,251002338760,42.692487090607415,6904.561161868021,61.04636015519787
2024-08-05,58719.484375,62673.765625,49121.23828125,58110.296875,317158734647,40.650686108274385,7569.357780056219,48.68765348030886
2024-08-12,58483.96484375,61687.7578125,56161.59375,58719.39453125,193731393138,39.885350959924956,7365.038408300597,36.94678245137275
2024-08-19,64333.54296875,64996.421875,57864.7109375,58480.7109375,200670274120,49.187429956846735,7341.705661220538,53.185917830880406
2024-08-26,57325.48828125,64489.70703125,57217.82421875,64342.2265625,208589155271,48.48676786160434,7334.723376348484,52.25121092937741
2024-09-02,54841.56640625,59815.05859375,52598.69921875,57326.96875,207052844168,48.118972626180195,7322.8869762136355,46.545357381029355
2024-09-09,59182.8359375,60656.72265625,54598.43359375,54851.88671875,201400392020,57.074332255069734,7196.427184842272,38.31724660208011
2024-09-16,63648.7109375,64119.53125,57501.33984375,59185.2265625,223578476939,57.94842871625702,7138.603606983045,48.41841837906626
2024-09-23,65635.3046875,66480.6953125,62628.078125,63643.1015625,185380794223,57.1426456484196,6810.004965034741,65.66111414069199
2024-09-30,62818.953125,65635.0546875,59878.8046875,65634.65625,221870167581,46.241441515789184,6704.6544685312665,71.46970990093864
2024-10-07,62851.375,64443.70703125,58895.20703125,62819.109375,185760615870,47.667355682970964,6589.039021678141,74.6268520112985
2024-10-14,69001.703125,69359.0078125,62442.15234375,62848.3984375,233833427420,60.928686584935136,6621.820666385327,80.86880823547087
2024-10-21,67929.296875,69462.734375,65188.03515625,69002.0,210764883686,61.78771704211371,6387.108521621794,89.2894424866028
2024-10-28,68741.1171875,73577.2109375,67482.5234375,67922.671875,281658996077,63.79537133075932,6357.866419459615,88.57419929716217
2024-11-04,80474.1875,81474.421875,66803.6484375,68742.1328125,436048950363,76.48987790083842,7189.157121263654,88.13017324091153
2024-11-11,89845.8515625,93434.3515625,80283.25,80471.4140625,631742325166,87.3560702490242,7785.351565387288,88.08110251187462
2024-11-18,98013.8203125,99655.5,89393.59375,89843.71875,502412531238,89.29033435506096,8033.007033848559,94.46714913578136
2024-11-25,97279.7890625,98935.03125,90770.8125,98033.4453125,419153048682,75.1682861322281,8046.128205463703,93.67896086156628
2024-12-02,101236.015625,103900.46875,91998.78125,97276.0078125,549005393438,78.60056257548953,8431.684134917334,94.78557513971975
2024-12-09,104298.6953125,105047.5390625,94321.2578125,101237.0625,521429282524,85.04415553083606,8661.1438464256,95.54288133249923
2024-12-16,95104.9375,108268.4453125,92175.1796875,104293.578125,551244500231,75.66710191797146,9404.35602428304,87.91078141373468
2024-12-23,93530.2265625,99884.5703125,92403.1328125,95099.390625,299272588112,69.33444352740304,9212.064171854736,78.48056874027858
2024-12-30,98314.9609375,98956.9140625,91317.1328125,93527.1953125,248821817930,70.05926831788898,9054.835879669263,71.019864051522
2025-01-06,94488.4375,102712.484375,91220.84375,98314.953125,338967010865,63.27435575919913,9298.516354202337,69.51711885785151
2025-01-13,101089.609375,106299.796875,89260.1015625,94488.890625,437782936416,64.12503325721647,10072.634250032104,72.3700153895406
2025-01-20,102682.5,109114.8828125,99471.359375,101083.75,471816874719,63.57483108445264,10029.723168778895,69.57252017617509
2025-01-27,97688.9765625,106418.765625,96216.078125,102680.3046875,362117614322,53.804035616756956,10047.019601901005,61.467736658197
2025-02-03,96500.09375,102514.171875,91242.890625,97681.1015625,388753129798,54.12797265408746,10169.445766710904,48.84006738511241
2025-02-10,96175.03125,98819.46875,94101.203125,96499.4609375,230337481014,44.41309266808725,9624.327752539813,37.91495961037932
2025-02-17,96273.921875,99497.96875,93388.8359375,96179.0078125,210283176728,39.21863229088641,9272.808258535832,35.53928551004979
2025-02-24,94248.3515625,96503.453125,78248.9140625,96277.9609375,424642208809,41.13769471723269,10170.98133893225,40.66277676043908
2025-03-03,80601.0390625,94429.75,80052.484375,94248.421875,351467410238,40.96823210875972,10591.609767539025,31.593749671467208
2025-03-10,82579.6875,85263.2890625,76624.25,80597.1484375,245099235090,34.188337865446954,10396.352697035121,25.92845219160613
2025-03-17,86054.375,87443.265625,81179.9921875,82576.3359375,154637791297,40.57684542374035,9983.044771081608,18.324762789284208
2025-03-24,82334.5234375,88758.7265625,81573.25,86070.9296875,181637739548,29.23928609406424,9703.287950223448,21.6429927760429
2025-03-31,78214.484375,88466.953125,77097.7421875,82336.0625,237449686690,13.25332690223155,9869.880248951104,17.31220382870826
2025-04-07,83684.9765625,86015.1875,74436.6796875,78221.3359375,363220466107,25.665315951343246,10040.743005305992,18.616982929304328
2025-04-14,85174.3046875,86429.3515625,83100.6171875,83694.5234375,155677486406,34.4832703820846,9369.542142275393,27.040424272981948
