,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3,RET,MOM,VOL,ATR_10_res,MFI_10_res,STOCHk_10_3_3_res,Investor_Sentiment_PC1
2024-07-29,58116.9765625,69987.5390625,57210.8046875,68259.0546875,251002338760,42.692487090607415,6904.561161868021,61.04636015519787,-0.14854240437892763,0.049693054952298366,0.0062229701195063505,-1495.7618904970277,-1.1427832325793332,17.07234713912556,1.3794169946961574
2024-08-05,58719.484375,62673.765625,49121.23828125,58110.296875,317158734647,40.650686108274385,7569.357780056219,48.68765348030886,0.010367156864260707,-0.1326420733204431,0.006072432537450283,-647.042730852595,0.32197332036912485,11.497031627460721,0.850964626496422
2024-08-12,58483.96484375,61687.7578125,56161.59375,58719.39453125,193731393138,39.885350959924956,7365.038408300597,36.94678245137275,-0.004010926420026095,-0.11108820436963951,0.006077011994938157,-865.1744257026457,-1.1184015880110465,-1.3999225158293953,0.23477837698538145
2024-08-19,64333.54296875,64996.421875,57864.7109375,58480.7109375,200670274120,49.187429956846735,7341.705661220538,53.185917830880406,0.10002020452320837,-0.14308947465261634,0.007102641535623037,-636.707121322348,4.991314092288569,10.245152925888249,1.1391741760493432
2024-08-26,57325.48828125,64489.70703125,57217.82421875,64342.2265625,208589155271,48.48676786160434,7334.723376348484,52.25121092937741,-0.10893313758429501,0.00013291299167306203,0.00801189127535869,-904.8272186150098,6.802199649665475,10.886151199683354,1.4247440695779594
2024-09-02,54841.56640625,59815.05859375,52598.69921875,57326.96875,207052844168,48.118972626180195,7322.8869762136355,46.545357381029355,-0.04333014771393473,-0.05690497455270305,0.007946606194466507,-828.6324926505567,6.607663840699061,6.032475997401342,1.1486430494575652
2024-09-09,59182.8359375,60656.72265625,54598.43359375,54851.88671875,201400392020,57.074332255069734,7196.427184842272,38.31724660208011,0.07916020303087556,-0.09228169446729906,0.008656686142009446,-689.1223518530878,11.373894351521315,-7.9812744210234,0.7883297635913491
2024-09-16,63648.7109375,64119.53125,57501.33984375,59185.2265625,223578476939,57.94842871625702,7138.603606983045,48.41841837906626,0.0754589557809664,0.09583462830274803,0.007773772317987449,-684.292934847791,-1.1460025997987842,-17.905867256453767,-0.6216583451584292
2024-09-23,65635.3046875,66480.6953125,62628.078125,63643.1015625,185380794223,57.1426456484196,6810.004965034741,65.66111414069199,0.031211845781931702,0.0828645357243376,0.0072376576006033715,-1144.3606401969218,1.206935750112855,4.103171637779425,0.7919743050761178
2024-09-30,62818.953125,65635.0546875,59878.8046875,65634.65625,221870167581,46.241441515789184,6704.6544685312665,71.46970990093864,-0.04290909558368161,-0.007111279847666019,0.006048689748534085,-1534.7379157399928,0.20245655194404577,25.108096627410617,1.8748009485786306
2024-10-07,62851.375,64443.70703125,58895.20703125,62819.109375,185760615870,47.667355682970964,6589.039021678141,74.6268520112985,0.0005161161303577355,-0.05150734569962234,0.006047603755019554,-1593.8476017226412,2.2293130841778037,29.549505665188427,2.2619114779345986
2024-10-14,69001.703125,69359.0078125,62442.15234375,62848.3984375,233833427420,60.928686584935136,6621.820666385327,80.86880823547087,0.09785510857956559,0.09755117480966302,0.004475194937254979,-1367.8629992441547,-1.3606654830799414,11.713417022837675,1.0548825521334653
2024-10-21,67929.296875,69462.734375,65188.03515625,69002.0,210764883686,61.78771704211371,6387.108521621794,89.2894424866028,-0.015541735948999436,0.1850391265249679,0.004574549427613086,-1763.1012877471585,-0.033509348886532564,19.84326588383408,1.7116931435909764
2024-10-28,68741.1171875,73577.2109375,67482.5234375,67922.671875,281658996077,63.79537133075932,6357.866419459615,88.57419929716217,0.011950960040023162,0.17350831699599456,0.004535716146156586,-1747.8430104613326,1.1770806983311246,18.160897146159996,1.717157496888845
2024-11-04,80474.1875,81474.421875,66803.6484375,68742.1328125,436048950363,76.48987790083842,7189.157121263654,88.13017324091153,0.1706848941732586,0.08543907251280936,0.0061649694804703035,-554.6798424292465,11.77398529289124,14.9144657783213,1.832242058240925
2024-11-11,89845.8515625,93434.3515625,80283.25,80471.4140625,631742325166,87.3560702490242,7785.351565387288,88.08110251187462,0.11645552883028487,0.365057104270363,0.004823107203365694,35.64523635664773,5.516917720716151,-11.030307760703593,-0.11773844273919305
2024-11-18,98013.8203125,99655.5,89393.59375,89843.71875,502412531238,89.29033435506096,8033.007033848559,94.46714913578136,0.09091091695333398,0.5248427808145826,0.004122761965591938,295.0777804564332,-2.6108039011264736,-19.858090749043768,-1.2588426063656797
2024-11-25,97279.7890625,98935.03125,90770.8125,98033.4453125,419153048682,75.1682861322281,8046.128205463703,93.67896086156628,-0.007489058661928172,0.536593494737041,0.0044035650824444435,138.14769490167328,-11.743079675328602,-13.995242239382947,-1.6016453834948157
2024-12-02,101236.015625,103900.46875,91998.78125,97276.0078125,549005393438,78.60056257548953,8431.684134917334,94.78557513971975,0.0406685355779115,0.4536454802941464,0.004323235914719717,558.5206757826263,-5.334411182866447,-7.884890484946496,-1.019574055923869
2024-12-09,104298.6953125,105047.5390625,94321.2578125,101237.0625,521429282524,85.04415553083606,8661.1438464256,95.54288133249923,0.030252866715387405,0.4631021700901262,0.0043259520678780305,773.7813982352891,1.0495515245241336,-7.30769971370529,-0.6076250621057528
2024-12-16,95104.9375,108268.4453125,92175.1796875,104293.578125,551244500231,75.66710191797146,9404.35602428304,87.91078141373468,-0.08814834917113434,0.5362641323891952,0.005306041049040641,1393.587294588603,-6.09460193746817,-13.071396095822237,-1.6912182530094957
2024-12-23,93530.2265625,99884.5703125,92403.1328125,95099.390625,299272588112,69.33444352740304,9212.064171854736,78.48056874027858,-0.016557614976614676,0.44759966708770316,0.005469889004471456,1294.6849843080518,-10.266940669053398,-18.68855533577012,-2.2247245938642553
2024-12-30,98314.9609375,98956.9140625,91317.1328125,93527.1953125,248821817930,70.05926831788898,9054.835879669263,71.019864051522,0.051157091678834865,0.3331869435315229,0.005120185337011975,1172.654535974677,-5.640283831576198,-19.412748788270164,-1.856142495753162
