Model,Input_Features,R2,RMSE,MAE,Directional_Accuracy
Naive Baseline,Predicted return = 0,-0.0540493654134484,0.05705137738342109,0.045113532776259124,0.0
Price-only XGBoost,Log_Return_lag1~5 + Asset dummies,-0.08346987627082769,0.057842103601141,0.046302744935548486,54.91803278688525
