Model,Feature_Set,Feature_Count,R2,RMSE,MAE,DA
Naive Baseline,Predicted return = 0,0,-0.052627669055077986,0.05666485243475091,0.044664761970361365,0.0
Price-only Baseline,Log_Return_lag1~5 + Asset dummies,8,-0.0855053882574679,0.05754298185665505,0.045324614251392434,53.333333333333336
Model A,Log_Return_lag1~5 + Asset dummies + PC1,9,-0.09121687944992107,0.05769416722022233,0.04522301991621962,51.66666666666667
Model B,Log_Return_lag1~5 + Asset dummies + residual 3개,11,-0.08205961080916935,0.05745157838942651,0.04485468664479992,50.83333333333333
Model C,Log_Return_lag1~5 + Asset dummies + PC1 + residual 3개,12,-0.08623387646837677,0.05756228731272985,0.044869657609775945,57.49999999999999
