Item,Value,Display_Label
PC1_Explained_Variance_Ratio,0.6092521683557235,PC1 설명분산비율
ATR_10_res_loading,0.1585546986440538,ATR_10_res loading
MFI_10_res_loading,0.6991538652031333,MFI_10_res loading
STOCHk_10_3_3_res_loading,0.6971687602793261,STOCHk_10_3_3_res loading
