지점,지점명,일시,기온(°C)
108,서울,2024-12-06 00:01,4.2
108,서울,2024-12-06 00:02,4.2
108,서울,2024-12-06 00:03,4.2
108,서울,2024-12-06 00:04,4.2
108,서울,2024-12-06 00:05,4.2
108,서울,2024-12-06 00:06,4.2
108,서울,2024-12-06 00:07,4.2
108,서울,2024-12-06 00:08,4.2
108,서울,2024-12-06 00:09,4.2
108,서울,2024-12-06 00:10,4.2
108,서울,2024-12-06 00:11,4.2
108,서울,2024-12-06 00:12,4.2
108,서울,2024-12-06 00:13,4.3
108,서울,2024-12-06 00:14,4.3
108,서울,2024-12-06 00:15,4.4
108,서울,2024-12-06 00:16,4.4
108,서울,2024-12-06 00:17,4.4
108,서울,2024-12-06 00:18,4.4
108,서울,2024-12-06 00:19,4.4
108,서울,2024-12-06 00:20,4.4
108,서울,2024-12-06 00:21,4.4
108,서울,2024-12-06 00:22,4.4
108,서울,2024-12-06 00:23,4.4
108,서울,2024-12-06 00:24,4.4
108,서울,2024-12-06 00:25,4.4
108,서울,2024-12-06 00:26,4.4
108,서울,2024-12-06 00:27,4.4
108,서울,2024-12-06 00:28,4.4
108,서울,2024-12-06 00:29,4.4
108,서울,2024-12-06 00:30,4.4
108,서울,2024-12-06 00:31,4.4
108,서울,2024-12-06 00:32,4.4
108,서울,2024-12-06 00:33,4.3
108,서울,2024-12-06 00:34,4.3
108,서울,2024-12-06 00:35,4.3
108,서울,2024-12-06 00:36,4.3
108,서울,2024-12-06 00:37,4.3
108,서울,2024-12-06 00:38,4.3
108,서울,2024-12-06 00:39,4.3
108,서울,2024-12-06 00:40,4.3
108,서울,2024-12-06 00:41,4.3
108,서울,2024-12-06 00:42,4.3
108,서울,2024-12-06 00:43,4.3
108,서울,2024-12-06 00:44,4.2
108,서울,2024-12-06 00:45,4.2
108,서울,2024-12-06 00:46,4.2
108,서울,2024-12-06 00:47,4.2
108,서울,2024-12-06 00:48,4.1
108,서울,2024-12-06 00:49,4.1
108,서울,2024-12-06 00:50,4.1
108,서울,2024-12-06 00:51,4.1
108,서울,2024-12-06 00:52,4
108,서울,2024-12-06 00:53,4
108,서울,2024-12-06 00:54,4
108,서울,2024-12-06 00:55,4
108,서울,2024-12-06 00:56,4
108,서울,2024-12-06 00:57,4
108,서울,2024-12-06 00:58,3.9
108,서울,2024-12-06 00:59,3.9
108,서울,2024-12-06 01:00,3.9
108,서울,2024-12-06 01:01,3.9
108,서울,2024-12-06 01:02,3.9
108,서울,2024-12-06 01:03,3.9
108,서울,2024-12-06 01:04,3.9
108,서울,2024-12-06 01:05,3.8
108,서울,2024-12-06 01:06,3.8
108,서울,2024-12-06 01:07,3.8
108,서울,2024-12-06 01:08,3.8
108,서울,2024-12-06 01:09,3.8
108,서울,2024-12-06 01:10,3.7
108,서울,2024-12-06 01:11,3.7
108,서울,2024-12-06 01:12,3.7
108,서울,2024-12-06 01:13,3.7
108,서울,2024-12-06 01:14,3.6
108,서울,2024-12-06 01:15,3.6
108,서울,2024-12-06 01:16,3.6
108,서울,2024-12-06 01:17,3.6
108,서울,2024-12-06 01:18,3.6
108,서울,2024-12-06 01:19,3.5
108,서울,2024-12-06 01:20,3.5
108,서울,2024-12-06 01:21,3.5
108,서울,2024-12-06 01:22,3.5
108,서울,2024-12-06 01:23,3.5
108,서울,2024-12-06 01:24,3.4
108,서울,2024-12-06 01:25,3.4
108,서울,2024-12-06 01:26,3.4
108,서울,2024-12-06 01:27,3.3
108,서울,2024-12-06 01:28,3.3
108,서울,2024-12-06 01:29,3.3
108,서울,2024-12-06 01:30,3.3
108,서울,2024-12-06 01:31,3.3
108,서울,2024-12-06 01:32,3.3
108,서울,2024-12-06 01:33,3.2
108,서울,2024-12-06 01:34,3.2
108,서울,2024-12-06 01:35,3.2
108,서울,2024-12-06 01:36,3.2
108,서울,2024-12-06 01:37,3.2
108,서울,2024-12-06 01:38,3.2
108,서울,2024-12-06 01:39,3.2
108,서울,2024-12-06 01:40,3.2
108,서울,2024-12-06 01:41,3.2
108,서울,2024-12-06 01:42,3.2
108,서울,2024-12-06 01:43,3.1
108,서울,2024-12-06 01:44,3.1
108,서울,2024-12-06 01:45,3.1
108,서울,2024-12-06 01:46,3
108,서울,2024-12-06 01:47,3
108,서울,2024-12-06 01:48,3
108,서울,2024-12-06 01:49,3
108,서울,2024-12-06 01:50,3
108,서울,2024-12-06 01:51,3
108,서울,2024-12-06 01:52,3
108,서울,2024-12-06 01:53,3
