,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3,RET,MOM,VOL,ATR_10_res,MFI_10_res,STOCHk_10_3_3_res,Investor_Sentiment_PC1,ATR_10_res_scaled,MFI_10_res_scaled,STOCHk_10_3_3_res_scaled
2025-03-17,60272.53125,60272.53125,54118.28575769854,54215.97219408428,168263990,63.20810487956733,3570.3788622025786,60.64256532935003,0.1279706720291524,0.0106971408373471,0.0024922543617184,-3356.568687391449,6.52468145605723,-0.2787326863669719,0.901360467241056,0.1264622430950859,0.5032018475745197,0.3585926622523553
2025-03-24,58807.23828125,60565.59424314784,58123.4331849564,59784.10270452658,84451498,72.65099443892454,3457.557081801465,76.97217757995537,-0.0243111237965469,0.122123588742839,0.0026118179735246,-3475.527958349405,15.829048996966977,21.38912547780276,2.685795323665773,0.1453980448100672,1.0242581133863038,1.023689241071693
2025-03-31,55127.6875,58665.29311497326,54734.62020944741,58468.75946969697,88912712,70.91185669182735,3519.063180801577,78.07531559269603,-0.0625696919085414,0.1267456519716422,0.0029691355355591,-4078.08058427602,17.34549420421174,27.50309958617453,3.1687954925678605,0.415566955277769,0.9588629739048848,1.100484097819609
2025-04-07,54243.28515625,55717.28747027853,51983.14827473959,52376.21555848053,114987340,65.85673366014221,3540.570782275314,58.813285128122345,-0.0160427978001072,0.0641759600631007,0.0030112522402354,-4072.729763058901,15.21417590838164,10.094934543292377,2.169398278991336,0.484844950147677,0.6928399279020436,0.3392040761429475
2025-04-14,54341.5546875,56110.35755255425,53555.42008080922,55324.22294586347,53003689,64.2116750838162,3442.007451222285,41.81447277270198,0.0018116441688023,0.0723416937039261,0.0029240486352582,-4121.044694117452,11.3890011143896,-10.168778551822705,0.9059813656001384,0.4150562546054159,0.6032812600032914,-0.3404486849654252
2025-04-21,54734.6171875,55422.48490798923,53751.949015372535,54243.28310143627,49386688,55.90192250479646,3264.860295361726,37.43789151387071,0.0072331846643027,0.049344213975918,0.0028886195909968,-4103.877960374095,4.710765146876739,-12.669660237332444,0.2554249242281295,0.2760691345071349,0.1516896661822874,-0.5187075973966275
2025-04-28,53358.8828125,55520.75283436924,53260.61599332412,54832.88510013812,55105429,46.9330438850894,3164.387949930065,30.814336144121047,-0.0251346304348353,0.0137468397440881,0.0027962699714443,-3550.1215393669167,0.7063190092755818,-11.787601845872526,-0.0854946770517075,0.2973686134102109,-0.3217894808302361,-0.7709491460266538
2025-05-05,53850.21875,54538.08650775547,53358.88463731752,53358.88463731752,41271845,49.73565593152876,2965.8695244626056,29.04952029072692,0.0092081376446078,-0.0506735743427724,0.0026359598474012,-3176.5067574429427,6.654563146354136,-10.704977458367996,0.3933167245678206,0.1384287937058291,-0.1743114265686557,-0.8457924290334253
2025-05-12,55815.55078125,57584.35344685299,54046.74811564701,54243.28174515845,68250680,57.58932257146775,3042.6960417016444,32.93209552514337,0.0364962682951033,0.022108582579311,0.0023493997773165,-3016.7436630009206,5.130726753584369,-19.139077772739697,-0.1484299769191446,0.0649352284528965,0.2344063807014094,-0.7082477654922948
2025-05-19,53260.61328125,55717.2836355512,53162.34646707795,55422.483193035056,53178256,49.45080380377727,3003.746868948685,30.445890113368687,-0.0457746535551213,0.0732836903171377,0.0025617283030456,-3367.476865790361,-1.7366819767886383,-17.258247071903742,-0.5615365275889166,0.1998114290868553,-0.185123581900055,-0.78478700217642
2025-05-26,55225.953125,56208.621330071175,52769.28261232207,52965.8162533363,81013633,42.33935697637878,3047.306053828728,33.82804572646341,0.0369004358506304,0.0088870093068164,0.0026510350468928,-3676.594937859816,-7.871432488871981,-15.85305072090408,-0.9441752295924456,0.1048395340716108,-0.5842022979896451,-0.6672246243731005
2025-06-02,58075.6875,58861.82201776649,55225.94987309645,55324.21668781726,55786525,39.489488726033606,3106.162662912859,47.08006875591037,0.0516013615654551,-0.0821832268717056,0.0012902125325511,202.948543927645,-8.149437180779692,1.828710700468278,-0.5827740695089518,-0.0356480433192708,-0.7600923575401232,-0.1634198731732602
2025-06-09,57289.5546875,59353.15785806175,56699.95378162521,59353.15785806175,86987247,53.28176694659274,3060.866804265227,66.11852446500745,-0.0135363496557832,-0.0062707415097035,0.0012543684585916,195.3059789958897,2.6977117046022627,19.67110852544597,1.1283988093423665,-0.0156541410654534,-0.0095189726834757,0.6037992479377312
2025-06-16,58468.76171875,59549.696809348745,55913.82423188026,56994.759322479,103407109,70.18309004103003,3118.367381585553,81.54313165870424,0.0205832815018771,0.0427626007430547,0.0008723264268958,673.6525324026161,11.620300898935994,24.3908249906412,2.003927825830832,-0.0523877620342751,0.8936639317448545,1.2092238608352344
2025-06-23,59746.22265625,60532.35716488487,56601.68462171053,57387.81913034539,100965975,72.50732507305369,3199.597897744432,81.97712824508689,0.0218486059897236,0.079388680045039,0.0008376319283552,606.5751951151915,10.3993361230404,20.409216808687454,1.7252984649677168,-0.0799549081558228,1.009234933349793,1.2151851964138545
2025-06-30,62584.43359375,63968.6074804996,59123.99887687599,60508.1727636256,101598834,81.12069450283457,3364.0989683323505,87.19065030213221,0.0475044414745624,0.0994256418659603,0.0009598849069971,182.0256494262221,15.997621533904194,20.75482414953001,2.235764080430233,-0.1515152474668541,1.4522040423477898,1.3981077536853517
2025-07-07,61892.34375,62584.4306609425,59519.47434105432,62188.952426118216,88820970,76.69437296688378,3334.184996768684,86.32492862374706,-0.0110584981601418,0.13969689867622,0.0010127057882333,148.79286353590578,11.777677591901494,22.25637049187982,1.9768108085746607,-0.1274807438118694,1.218634272196323,1.3696978265895772
2025-07-14,66341.46875,67033.55560730254,61101.38254470938,61595.73029992548,118448922,83.58900335804279,3593.983803351131,88.08316094877513,0.0718849009494813,0.1537730309509135,0.001153786866137,-556.9808919248894,12.653337422430454,13.250537355343596,1.700494074102501,-0.2384112693602151,1.5563590870016033,1.4003114261859897
2025-07-21,65155.046875,68022.2644157815,64166.35117128224,66638.09043057663,74980315,83.9445261409669,3620.176747465943,85.93705742590753,-0.0178835635893274,0.216449794255787,0.0012817714733548,-657.5806542150299,13.405062703330117,14.77120965525954,1.8444782217797733,-0.1471920929109884,1.58473308842771,1.3251738975611134
2025-07-28,68121.1328125,73163.48081458635,66440.35014513788,67429.04583182148,148891490,90.8082968337355,4059.002466677984,83.87531166544214,0.0455235024723477,0.1620699623713563,0.0013224808349182,-390.00942043304485,21.375182184880487,11.674296834388455,2.296862759619291,-0.0496538632885647,1.93227143608678,1.216450310648851
2025-08-04,70988.34375,71581.56110724233,67527.90916608635,68714.34388057103,78964731,90.97516945712783,4058.467414125784,81.4505488021844,0.0420898892769716,0.2533681183988253,0.0008882831160989,138.86104574796127,11.890961026181373,-2.072005306061911,0.8272446315743702,-0.2295801041228468,1.919085668842839,1.094111037945439
2025-08-11,70790.609375,71581.5659043296,69999.6528456704,71186.08763966481,51403773,91.04010086709228,3810.811978579126,83.13111569825958,-0.0027854484913236,0.2585575718251666,0.0009517680011507,-9.855889337308328,14.538120382526756,4.410515133612122,1.3636853773034303,-0.3770851952704467,1.9241211187376035,1.1629773250390874
2025-08-18,70592.8671875,71087.21499693627,68615.4759497549,70296.25850183824,69695454,82.96518760725206,3676.904685439352,86.4051220899509,-0.0027933392471944,0.2041707617683877,0.0009123374310559,288.6158109012872,11.287883775303357,13.742957936615568,1.5156015733247652,-0.4511524554109285,1.4897788891975223,1.2954711877859282
2025-08-25,68912.0859375,70988.34677636297,68813.21637374461,70889.4772126076,58841393,75.4467909889959,3526.727257157252,81.89055164709673,-0.0238095053645536,0.2149137721769765,0.0009873581867657,21.93620899718553,4.380300488911459,10.673049898544832,0.8533574281324243,-0.4428373801218703,1.0969559681373893,1.130158062116778
2025-09-01,68714.34375,69604.16978417267,66736.95256294965,67626.7785971223,56700518,67.7092170786527,3460.7762535638294,75.91250849777343,-0.0028694848633568,0.1705209853105457,0.0010223036623809,9.338978558378583,-0.503373714862164,7.42332086930675,0.3128631654583881,-0.4730311391236936,0.6808228576869385,0.8932090684016282
2025-09-08,74547.6484375,74745.38755802387,68813.21394230769,69010.95306283157,95075124,68.06082454550351,3717.8030090098337,80.44707631280009,0.0848920963099497,0.1458028944574653,0.0014669329132105,-1239.0584767547662,-1.860774188731156,5.984534885134337,0.2845360097255766,-0.6724460763242144,0.6546501102242173,1.0223660270933672
2025-09-15,79392.265625,79590.00476727895,75042.00449486301,76327.30891967622,94602422,78.2990161616384,3850.2583410867455,88.64720033827756,0.0649868545694192,0.1831905492928526,0.0015874871618882,-1506.6283470344106,6.647429828239908,12.614301967267778,1.30660963954309,-0.89036196817908,1.1697945477011964,1.306690677412425
2025-09-22,82358.34375,85225.56099939976,80183.21342286916,80578.69166416567,113177260,78.89358930331251,4048.562044418047,94.6722510310055,0.0373597868967479,0.2592359020224136,0.0014750427741784,-1322.9250198981404,1.6471908073031187,12.848517193459571,0.8997070270561969,-0.9481075210570404,1.1789302021227237,1.520880387852115
2025-09-29,88735.4296875,89279.21226497214,82259.47353760446,82358.34309714485,101310544,80.15068300535611,4345.679712713011,94.31150043046854,0.0774309638481529,0.2247107879696802,0.001527666696462,-1199.3404975136782,3.713070825907181,11.934960224338568,1.0052611993087877,-1.155697641652008,1.1974252918749049,1.4497234858064314
2025-10-06,93749.2890625,93848.5997500662,89131.34209067134,89131.34209067134,35269748,77.7235650945562,4422.428747698331,94.54590553980164,0.0565034664581818,0.3200253154071606,0.0013560006350534,-1152.8934766243074,-6.699580132720726,3.230022082152516,-0.2404915290142199,-1.4201783475420642,1.027603553815866,1.4144635035872426
2025-10-13,97225.15625,98416.88441649642,89578.2338483146,90670.65133426969,131350523,80.12051941137449,4864.05092974668,97.83032267173348,0.0370761978278335,0.3310052793929947,0.0013434075127638,-623.492839249232,-4.123506746880196,7.476785454477948,0.1034298322906426,-1.3527635959272366,1.1300833266744512,1.514680411068975
2025-10-20,98118.953125,99211.37061930668,94841.70064207996,97225.15699329451,93621703,81.6733439928561,4814.612834494683,97.50266285431915,0.0091930618522404,0.3259915879438566,0.0013850230953976,-566.0351946438141,-0.206698133117797,11.075581873886165,0.5786188242325041,-1.4406622996380112,1.2069843503757154,1.493642458669052
2025-10-27,106758.984375,107851.40188953489,98416.88699127908,100601.72202034884,152466621,90.18151878284816,5306.396427498703,96.73909173008512,0.0880567003093979,0.3379700982874207,0.0015310083457901,-1012.8577651005698,2.748694659999586,0.2737676064156034,0.3508583772470307,-1.6643075537611478,1.5993668570065802,1.3862618629198733
2025-11-03,97225.15625,111625.20492849848,95636.1853613381,106163.1174987232,156967139,78.7029307453456,6374.65874146487,87.29976007704374,-0.0893023494070683,0.4288201378440132,0.0029297781637695,-2815.820782455409,-0.884777144667666,5.3770955393119095,0.5196680159361661,-0.3774947283961686,1.053563819305035,1.0941853512568196
