Model,R2,RMSE,MAE,DA,Correct,Test_N,Up_DA,Down_DA,Pred_Up_Ratio
Naive Persistence Baseline,-1.1626431218407354,0.0808458765741071,0.0634857513983147,46.55172413793103,27,58,58.97435897435898,21.052631578947366,65.51724137931035
Zero-return Baseline,-0.2676873839181766,0.06189727491278532,0.04837855941069798,0.0,0,58,0.0,0.0,0.0
Train-mean Baseline,-0.2591232417494558,0.06168784023554719,0.048220389669987235,67.24137931034483,39,58,100.0,0.0,100.0
Price-only Baseline,-0.26132488497731,0.061741748897262354,0.04795492463369837,60.3448275862069,35,58,53.84615384615385,73.68421052631578,44.827586206896555
Model A (PCA 통합),-0.26132488497731,0.061741748897262354,0.04795492463369837,60.3448275862069,35,58,53.84615384615385,73.68421052631578,44.827586206896555
Model B (세부 잔차),-0.2663588383039899,0.06186483201292513,0.048006235976833414,60.3448275862069,35,58,56.41025641025641,68.42105263157895,48.275862068965516
Model C (전체 혼용),-0.2663588383039899,0.06186483201292513,0.048006235976833414,60.3448275862069,35,58,56.41025641025641,68.42105263157895,48.275862068965516
